"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2026-03-13 14:34:23","59125038005","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-13 14:34:23","0.00008BTC","73740.01","5.8992008USDT","FILLED"
"2026-03-13 14:34:19","59125033581","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-13 14:34:19","0.00008BTC","73742.91","5.8994328USDT","FILLED"
"2026-03-13 13:57:10","59122008289","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-13 13:57:10","0.00008BTC","73440.12","5.8752096USDT","FILLED"
"2026-03-13 13:57:05","59122001345","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-13 13:57:05","0.00008BTC","73415.42","5.8732336USDT","FILLED"
"2026-03-13 13:21:17","59119045439","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-13 13:21:17","0.00008BTC","73079.13","5.8463304USDT","FILLED"
"2026-03-13 13:21:11","59119041452","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-13 13:21:11","0.00008BTC","73087.07","5.8469656USDT","FILLED"
"2026-03-13 12:50:19","59117142498","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-13 12:50:19","0.00008BTC","72693.45","5.815476USDT","FILLED"
"2026-03-13 12:50:13","59117130325","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-13 12:50:13","0.00008BTC","72687.78","5.8150224USDT","FILLED"
"2026-03-13 10:20:39","59111960761","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-13 10:20:39","0.00008BTC","72328.02","5.7862416USDT","FILLED"
"2026-03-13 10:20:34","59111957955","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-13 10:20:34","0.00008BTC","72325.69","5.7860552USDT","FILLED"
"2026-03-13 00:36:57","59092683001","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-13 00:36:57","0.00008BTC","71823.57","5.7458856USDT","FILLED"
"2026-03-13 00:36:52","59092673558","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-13 00:36:52","0.00008BTC","71807.78","5.7446224USDT","FILLED"
"2026-03-13 00:16:40","59090497067","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-13 00:16:40","0.00008BTC","71429.59","5.7143672USDT","FILLED"
"2026-03-13 00:16:35","59090486734","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-13 00:16:35","0.00008BTC","71415.77","5.7132616USDT","FILLED"
"2026-03-11 13:41:09","59008077800","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-11 13:41:09","0.00008BTC","70925.14","5.6740112USDT","FILLED"
"2026-03-11 13:41:04","59008065902","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-11 13:41:04","0.00008BTC","70908.58","5.6726864USDT","FILLED"
"2026-03-11 13:36:03","59007435102","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-11 13:36:03","0.00008BTC","70612.01","5.6489608USDT","FILLED"
"2026-03-11 13:35:58","59007418883","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-11 13:35:58","0.00008BTC","70613.67","5.6490936USDT","FILLED"
"2026-03-11 13:26:38","59006371011","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-11 13:26:38","0.00008BTC","70193.98","5.6155184USDT","FILLED"
"2026-03-11 13:11:34","59005145292","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-11 13:11:34","0.00008BTC","69536.57","5.5629256USDT","FILLED"
"2026-03-11 07:55:35","58995633840","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-11 07:55:35","0.00008BTC","69678.29","5.5742632USDT","FILLED"
"2026-03-11 07:55:30","58995631380","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-11 07:55:30","0.00008BTC","69672.1","5.573768USDT","FILLED"
"2026-03-10 23:55:28","58982981609","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 23:55:28","0.00008BTC","69926","5.59408USDT","FILLED"
"2026-03-10 23:40:24","58982666229","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 23:40:24","0.00008BTC","69892.61","5.5914088USDT","FILLED"
"2026-03-10 23:00:07","58981626983","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 23:00:07","0.00008BTC","69709.32","5.5767456USDT","FILLED"
"2026-03-10 23:00:02","58981623307","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 23:00:02","0.00008BTC","69725.81","5.5780648USDT","FILLED"
"2026-03-10 21:00:01","58978770262","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 21:00:01","0.00008BTC","70228.95","5.618316USDT","FILLED"
"2026-03-10 20:59:55","58978766361","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 20:59:55","0.00008BTC","70230.75","5.61846USDT","FILLED"
"2026-03-10 18:59:54","58974254427","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 18:59:54","0.00008BTC","70013.87","5.6011096USDT","FILLED"
"2026-03-10 18:59:49","58974252651","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 18:59:49","0.00008BTC","70013.86","5.6011088USDT","FILLED"
"2026-03-10 16:59:45","58966083484","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 16:59:45","0.00008BTC","71255.33","5.7004264USDT","FILLED"
"2026-03-10 16:59:40","58966079422","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 16:59:40","0.00008BTC","71241.28","5.6993024USDT","FILLED"
"2026-03-10 14:59:35","58957637180","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 14:59:35","0.00008BTC","71382.1","5.710568USDT","FILLED"
"2026-03-10 14:59:30","58957629092","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 14:59:30","0.00008BTC","71370","5.7096USDT","FILLED"
"2026-03-10 14:30:47","58954870446","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 14:30:47","0.00008BTC","69949.36","5.5959488USDT","FILLED"
"2026-03-10 14:30:42","58954861940","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 14:30:42","0.00008BTC","69957.24","5.5965792USDT","FILLED"
"2026-03-10 14:09:36","58952972899","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 14:09:36","0.00008BTC","69510.7","5.560856USDT","FILLED"
"2026-03-10 14:09:31","58952962459","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 14:09:31","0.00008BTC","69513.94","5.5611152USDT","FILLED"
"2026-03-10 13:24:47","58948455121","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 13:24:47","0.00008BTC","70888.51","5.6710808USDT","FILLED"
"2026-03-10 13:24:42","58948448060","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 13:24:42","0.00008BTC","70872.71","5.6698168USDT","FILLED"
"2026-03-10 12:19:02","58946458494","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 12:19:02","0.00008BTC","70441.63","5.6353304USDT","FILLED"
"2026-03-10 12:18:57","58946457504","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 12:18:57","0.00008BTC","70441.62","5.6353296USDT","FILLED"
"2026-03-10 10:18:52","58943078250","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 10:18:52","0.00008BTC","70824.01","5.6659208USDT","FILLED"
"2026-03-10 10:18:47","58943076508","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 10:18:47","0.00008BTC","70824.9","5.665992USDT","FILLED"
"2026-03-10 08:18:43","58938718844","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 08:18:43","0.00008BTC","70780.92","5.6624736USDT","FILLED"
"2026-03-10 08:18:38","58938716581","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 08:18:38","0.00008BTC","70784.63","5.6627704USDT","FILLED"
"2026-03-10 07:11:02","58935849112","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 07:11:02","0.00008BTC","70387.44","5.6309952USDT","FILLED"
"2026-03-10 07:10:57","58935842686","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 07:10:57","0.00008BTC","70398.72","5.6318976USDT","FILLED"
"2026-03-10 06:44:55","58935004661","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 06:44:55","0.00008BTC","69970.66","5.5976528USDT","FILLED"
"2026-03-10 06:44:50","58935004035","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 06:44:50","0.00008BTC","69970.65","5.597652USDT","FILLED"
"2026-03-10 04:44:45","58931377843","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 04:44:45","0.00008BTC","69969.12","5.5975296USDT","FILLED"
"2026-03-10 04:44:40","58931375636","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 04:44:40","0.00008BTC","69978.39","5.5982712USDT","FILLED"
"2026-03-10 02:44:35","58926442554","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 02:44:35","0.00008BTC","70280.01","5.6224008USDT","FILLED"
"2026-03-10 02:44:30","58926441191","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 02:44:30","0.00008BTC","70280","5.6224USDT","FILLED"
"2026-03-10 02:31:14","58925303531","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 02:31:14","0.00008BTC","69672.79","5.5738232USDT","FILLED"
"2026-03-10 02:31:09","58925297248","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 02:31:09","0.00008BTC","69650.62","5.5720496USDT","FILLED"
"2026-03-10 00:35:00","58921366704","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-10 00:35:00","0.00008BTC","69071.96","5.5257568USDT","FILLED"
"2026-03-10 00:34:55","58921358303","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-10 00:34:55","0.00008BTC","69049.99","5.5239992USDT","FILLED"
"2026-03-09 23:28:39","58919482277","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-09 23:28:39","0.00008BTC","68626.45","5.490116USDT","FILLED"
"2026-03-09 23:28:34","58919481628","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-09 23:28:34","0.00008BTC","68626.44","5.4901152USDT","FILLED"
"2026-03-09 21:28:29","58916598647","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-09 21:28:29","0.00008BTC","68920","5.5136USDT","FILLED"
"2026-03-09 21:28:24","58916594328","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-09 21:28:24","0.00008BTC","68901.14","5.5120912USDT","FILLED"
"2026-03-09 19:28:20","58911769726","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-09 19:28:20","0.00008BTC","69244.02","5.5395216USDT","FILLED"
"2026-03-09 19:28:15","58911757926","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-09 19:28:15","0.00008BTC","69207.87","5.5366296USDT","FILLED"
"2026-03-09 19:21:19","58911005289","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-09 19:21:19","0.00008BTC","68770.01","5.5016008USDT","FILLED"
"2026-03-09 19:21:14","58910989782","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-09 19:21:14","0.00008BTC","68855.32","5.5084256USDT","FILLED"
"2026-03-09 17:46:07","58907639967","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-09 17:46:07","0.00008BTC","68447.33","5.4757864USDT","FILLED"
"2026-03-09 17:46:02","58907635861","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-09 17:46:02","0.00008BTC","68447.41","5.4757928USDT","FILLED"
"2026-03-09 15:45:58","58902135897","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-09 15:45:58","0.00008BTC","68820","5.5056USDT","FILLED"
"2026-03-09 15:45:53","58902132400","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-09 15:45:53","0.00008BTC","68799.98","5.5039984USDT","FILLED"
"2026-03-09 13:45:48","58893418305","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-09 13:45:48","0.00008BTC","69104.51","5.5283608USDT","FILLED"
"2026-03-09 13:45:43","58893408163","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-09 13:45:43","0.00008BTC","69080.35","5.526428USDT","FILLED"
"2026-03-09 13:27:51","58891533112","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-09 13:27:51","0.00008BTC","68616","5.48928USDT","FILLED"
"2026-03-09 13:27:46","58891518197","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-09 13:27:46","0.00008BTC","68606.1","5.488488USDT","FILLED"
"2026-03-09 12:29:07","58888887452","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-09 12:29:07","0.00008BTC","68124","5.44992USDT","FILLED"
"2026-03-09 12:29:02","58888883385","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-09 12:29:02","0.00008BTC","68112.5","5.449USDT","FILLED"
